[I 250623 14:08:46 websocket:47] WebSocket opened
[I 250623 14:22:26 websocket:49] WebSocket opened
[I 250623 14:22:35 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13307329, 'exchange_timestamp': 1750668754000, 'last_traded_price': 5608200, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:35 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13307396, 'exchange_timestamp': 1750668754000, 'last_traded_price': 5608200, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:35 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13307400, 'exchange_timestamp': 1750668754000, 'last_traded_price': 5608200, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:35 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13307876, 'exchange_timestamp': 1750668755000, 'last_traded_price': 5608300, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:36 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13308104, 'exchange_timestamp': 1750668755000, 'last_traded_price': 5608220, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:36 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13308418, 'exchange_timestamp': 1750668756000, 'last_traded_price': 5608210, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:36 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13308638, 'exchange_timestamp': 1750668756000, 'last_traded_price': 5608210, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:36 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13308775, 'exchange_timestamp': 1750668756000, 'last_traded_price': 5608210, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:36 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13308840, 'exchange_timestamp': 1750668756000, 'last_traded_price': 5608210, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:36 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13308856, 'exchange_timestamp': 1750668756000, 'last_traded_price': 5608210, 'subscription_mode_val': 'LTP'}
